Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy
0,0.02,1200,1,100000.0,50
1,0.02,1200,1,100000.0,75
2,0.02,1200,1,100000.0,100
3,0.02,1200,1,100000.0,125
4,0.02,1200,1,100000.0,150
5,0.02,1200,1,100000.0,175
6,0.02,1200,1,100000.0,200
7,0.02,1200,1,100000.0,225
8,0.02,1200,1,100000.0,250
9,0.02,1200,1,100000.0,275
10,0.02,1200,1,100000.0,300
11,0.02,1200,1,100000.0,325
12,0.02,1200,1,100000.0,350
13,0.02,1200,1,100000.0,375
14,0.02,1200,1,100000.0,400
15,0.02,1200,1,100000.0,425
16,0.02,1200,1,100000.0,450
17,0.02,1200,1,100000.0,475
18,0.02,1200,1,100000.0,500
19,0.02,1200,1,100000.0,525
20,0.02,1200,1,100000.0,550
21,0.02,1200,1,100000.0,575
22,0.02,1200,1,100000.0,600
23,0.02,1200,1,100000.0,625
24,0.02,1200,1,100000.0,650
25,0.02,1200,1,100000.0,675
26,0.02,1200,1,100000.0,700
27,0.02,1200,1,100000.0,725
28,0.02,1200,1,100000.0,750
29,0.02,1200,1,100000.0,775
30,0.02,1200,1,100000.0,800
31,0.02,1200,1,100000.0,825
32,0.02,1200,1,100000.0,850
33,0.02,1200,1,100000.0,875
34,0.02,1200,1,100000.0,900
35,0.02,1200,1,100000.0,925
36,0.02,1200,1,100000.0,950
37,0.02,1200,1,100000.0,975
38,0.02,1200,1,100000.0,1000
39,0.02,1200,1,100000.0,1025
40,0.02,1200,1,100000.0,1050
41,0.02,1200,1,100000.0,1075
42,0.02,1200,1,100000.0,1100
43,0.02,1200,1,100000.0,1125
44,0.02,1200,1,100000.0,1150
45,0.02,1200,1,100000.0,1175
46,0.02,1200,1,100000.0,1200
47,0.02,1200,1,100000.0,1225
48,0.02,1200,1,100000.0,1250
49,0.02,1200,1,100000.0,1275
50,0.02,1200,1,100000.0,1300
51,0.02,1200,1,100000.0,1325
52,0.02,1200,1,100000.0,1350
53,0.02,1200,1,100000.0,1375
54,0.02,1200,1,100000.0,1400
55,0.02,1200,1,100000.0,1425
56,0.02,1200,1,100000.0,1450
57,0.02,1200,1,100000.0,1475
58,0.02,1200,1,100000.0,1500
59,0.02,1200,1,100000.0,1525
60,0.02,1200,1,100000.0,1550
61,0.02,1200,1,100000.0,1575
62,0.02,1200,1,100000.0,1600
63,0.02,1200,1,100000.0,1625
64,0.02,1200,1,100000.0,1650
65,0.02,1200,1,100000.0,1675
66,0.02,1200,1,100000.0,1700
67,0.02,1200,1,100000.0,1725
68,0.02,1200,1,100000.0,1750
69,0.02,1200,1,100000.0,1775
70,0.02,1200,1,100000.0,1800
71,0.02,1200,1,100000.0,1825
72,0.02,1200,1,100000.0,1850
73,0.02,1200,1,100000.0,1875
74,0.02,1200,1,100000.0,1900
75,0.02,1200,1,100000.0,1925
76,0.02,1200,1,100000.0,1950
77,0.02,1200,1,100000.0,1975
78,0.02,1200,1,100000.0,2000
79,0.02,1200,1,100000.0,2025
80,0.02,1200,1,100000.0,2050
81,0.02,1200,1,100000.0,2075
82,0.02,1200,1,100000.0,2100
83,0.02,2400,1,100000.0,50
84,0.02,2400,1,100000.0,75
85,0.02,2400,1,100000.0,100
86,0.02,2400,1,100000.0,125
87,0.02,2400,1,100000.0,150
88,0.02,2400,1,100000.0,175
89,0.02,2400,1,100000.0,200
90,0.02,2400,1,100000.0,225
91,0.02,2400,1,100000.0,250
92,0.02,2400,1,100000.0,275
93,0.02,2400,1,100000.0,300
94,0.02,2400,1,100000.0,325
95,0.02,2400,1,100000.0,350
96,0.02,2400,1,100000.0,375
97,0.02,2400,1,100000.0,400
98,0.02,2400,1,100000.0,425
99,0.02,2400,1,100000.0,450
100,0.02,2400,1,100000.0,475
101,0.02,2400,1,100000.0,500
102,0.02,2400,1,100000.0,525
103,0.02,2400,1,100000.0,550
104,0.02,2400,1,100000.0,575
105,0.02,2400,1,100000.0,600
106,0.02,2400,1,100000.0,625
107,0.02,2400,1,100000.0,650
108,0.02,2400,1,100000.0,675
109,0.02,2400,1,100000.0,700
110,0.02,2400,1,100000.0,725
111,0.02,2400,1,100000.0,750
112,0.02,2400,1,100000.0,775
113,0.02,2400,1,100000.0,800
114,0.02,2400,1,100000.0,825
115,0.02,2400,1,100000.0,850
116,0.02,2400,1,100000.0,875
117,0.02,2400,1,100000.0,900
118,0.02,2400,1,100000.0,925
119,0.02,2400,1,100000.0,950
120,0.02,2400,1,100000.0,975
121,0.02,2400,1,100000.0,1000
122,0.02,2400,1,100000.0,1025
123,0.02,2400,1,100000.0,1050
124,0.02,2400,1,100000.0,1075
125,0.02,2400,1,100000.0,1100
126,0.02,2400,1,100000.0,1125
127,0.02,2400,1,100000.0,1150
128,0.02,2400,1,100000.0,1175
129,0.02,2400,1,100000.0,1200
130,0.02,2400,1,100000.0,1225
131,0.02,2400,1,100000.0,1250
132,0.02,2400,1,100000.0,1275
133,0.02,2400,1,100000.0,1300
134,0.02,2400,1,100000.0,1325
135,0.02,2400,1,100000.0,1350
136,0.02,2400,1,100000.0,1375
137,0.02,2400,1,100000.0,1400
138,0.02,2400,1,100000.0,1425
139,0.02,2400,1,100000.0,1450
140,0.02,2400,1,100000.0,1475
141,0.02,2400,1,100000.0,1500
142,0.02,2400,1,100000.0,1525
143,0.02,2400,1,100000.0,1550
144,0.02,2400,1,100000.0,1575
145,0.02,2400,1,100000.0,1600
146,0.02,2400,1,100000.0,1625
147,0.02,2400,1,100000.0,1650
148,0.02,2400,1,100000.0,1675
149,0.02,2400,1,100000.0,1700
150,0.02,2400,1,100000.0,1725
151,0.02,2400,1,100000.0,1750
152,0.02,2400,1,100000.0,1775
153,0.02,2400,1,100000.0,1800
154,0.02,2400,1,100000.0,1825
155,0.02,2400,1,100000.0,1850
156,0.02,2400,1,100000.0,1875
157,0.02,2400,1,100000.0,1900
158,0.02,2400,1,100000.0,1925
159,0.02,2400,1,100000.0,1950
160,0.02,2400,1,100000.0,1975
161,0.02,2400,1,100000.0,2000
162,0.02,2400,1,100000.0,2025
163,0.02,2400,1,100000.0,2050
164,0.02,2400,1,100000.0,2075
165,0.02,2400,1,100000.0,2100
